SampleName,SampleID
STEPN17_Region_1,STEPN-17
STEPN06_Region_1,STEPN-06
STEPN06_Region_2,STEPN-06
STEPN06_Region_3,STEPN-06
STEPN10_Region_1,STEPN-10
STEPN10_Region_2,STEPN-10
STEPN12_Region_1,STEPN-12
STEPN12_Region_2,STEPN-12
STEPN12_Region_3,STEPN-12
STEPN14_Region_1,STEPN-14
STEPN14_Region_2,STEPN-14
STEPN19_Region_1,STEPN-19
STEPN19_Region_2,STEPN-19
STEPN16_Region_1,STEPN-16
STEPN18_Region_1,STEPN-18
STEPN01_Region_1,STEPN-01
STEPN01_Region_2,STEPN-01
STEPN01_Region_3,STEPN-01
STEPN06_Region_4,STEPN-06
STEPN06_Region_5,STEPN-06
STEPN10_Region_3,STEPN-10
STEPN12_Region_4,STEPN-12
STEPN15_Region_1,STEPN-15
